"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1641","testMockCreateUser","Mock Test Suite","Wed Mar 18 13:03:41 UTC 2026","passed","Wed Mar 18 13:03:43 UTC 2026","api.tests.MockTests","Mock Tests","api.tests.MockTests","testMockCreateUser"
"","61","testMockGetUserNotFound","Mock Test Suite","Wed Mar 18 13:03:43 UTC 2026","passed","Wed Mar 18 13:03:43 UTC 2026","api.tests.MockTests","Mock Tests","api.tests.MockTests","testMockGetUserNotFound"
"","38","testKeycloakTokenIsCached","Keycloak Test Suite","Wed Mar 18 13:04:05 UTC 2026","failed","Wed Mar 18 13:04:05 UTC 2026","api.tests.KeycloakTests","Keycloak OAuth2 Tests","api.tests.KeycloakTests","testKeycloakTokenIsCached"
"Verifies that user is deleted and isDeleted flag is true.","2281","testDeleteUser","Integration Test Suite","Wed Mar 18 13:03:33 UTC 2026","passed","Wed Mar 18 13:03:35 UTC 2026","api.tests.UserTests","User Tests","api.tests.UserTests","testDeleteUser"
"","1640","testMockDeleteUser","Mock Test Suite","Wed Mar 18 13:03:41 UTC 2026","passed","Wed Mar 18 13:03:43 UTC 2026","api.tests.MockTests","Mock Tests","api.tests.MockTests","testMockDeleteUser"
"Verifies that BEARER token works — /auth/me returns user.","167","testGetMe","Integration Test Suite","Wed Mar 18 13:03:35 UTC 2026","broken","Wed Mar 18 13:03:36 UTC 2026","api.tests.UserTests","User Tests","api.tests.UserTests","testGetMe"
"Verifies that a single user is returned by valid ID.","152","testGetUserById","Integration Test Suite","Wed Mar 18 13:03:35 UTC 2026","passed","Wed Mar 18 13:03:35 UTC 2026","api.tests.UserTests","User Tests","api.tests.UserTests","testGetUserById"
"","1845","testKeycloakTokenIsJWT","Keycloak Test Suite","Wed Mar 18 13:04:03 UTC 2026","passed","Wed Mar 18 13:04:05 UTC 2026","api.tests.KeycloakTests","Keycloak OAuth2 Tests","api.tests.KeycloakTests","testKeycloakTokenIsJWT"
"","1642","testMockGetAllUsers","Mock Test Suite","Wed Mar 18 13:03:41 UTC 2026","passed","Wed Mar 18 13:03:43 UTC 2026","api.tests.MockTests","Mock Tests","api.tests.MockTests","testMockGetAllUsers"
"","55","testMockUpdateUser","Mock Test Suite","Wed Mar 18 13:03:43 UTC 2026","passed","Wed Mar 18 13:03:43 UTC 2026","api.tests.MockTests","Mock Tests","api.tests.MockTests","testMockUpdateUser"
